external_id,nombre,apellidos,dni,email,telefono,fecha_alta,estado,sede_externa,empresa_id
S5000-00016,Álvaro,"Muñoz García",60000016P,s5000.00016@example.invalid,600-000-016,2026-04-16,activo,"Sede sintética",999999
S5000-00017,Lucía,"Pérez Núñez",60000017D,s5000.00017@example.invalid,"+34 600000017",2026-05-17,activo,"Sede sintética",999999
S5000-00018,Iñigo,"Martín Sáez",60000018X,s5000.00018@example.invalid,600-000-018,2026-06-18,activo,"Sede sintética",999999
S5000-00019,"María José","Gómez León",60000019B,s5000.00019@example.invalid,"+34 600000019",2026-07-19,activo,"Sede sintética",999999
S5000-00020,Óscar,"Muñoz García",60000020N,s5000.00020@example.invalid,600-000-020,2026-08-20,activo,"Sede sintética",999999
S5000-00021,Nuria,"Pérez Núñez",60000021J,s5000.00021@example.invalid,"+34 600000021",2026-09-21,activo,"Sede sintética",999999
S5000-00022,Raúl,"Martín Sáez",60000022Z,s5000.00022@example.invalid,600-000-022,2026-10-22,inactivo,"Sede sintética",999999
S5000-00023,Sofía,"Gómez León",60000023S,s5000.00023@example.invalid,"+34 600000023",2026-11-23,activo,"Sede sintética",999999
S5000-00024,Álvaro,"Muñoz García",60000024Q,s5000.00024@example.invalid,600-000-024,2026-12-24,activo,"Sede sintética",999999
S5000-00025,Lucía,"Pérez Núñez",60000025V,s5000.00025@example.invalid,"+34 600000025",2026-01-25,activo,"Sede sintética",999999
S5000-00026,Iñigo,"Martín Sáez",60000026H,s5000.00026@example.invalid,600-000-026,2026-02-26,activo,"Sede sintética",999999
S5000-00027,"María José","Gómez León",60000027L,s5000.00027@example.invalid,"+34 600000027",2026-03-27,activo,"Sede sintética",999999
S5000-00028,Óscar,"Muñoz García",60000028C,s5000.00028@example.invalid,600-000-028,2026-04-28,activo,"Sede sintética",999999
S5000-00029,Nuria,"Pérez Núñez",60000029K,s5000.00029@example.invalid,"+34 600000029",2026-05-01,activo,"Sede sintética",999999
S5000-00030,Raúl,"Martín Sáez",60000030E,s5000.00030@example.invalid,600-000-030,2026-06-02,activo,"Sede sintética",999999
S5000-00031,Sofía,"Gómez León",60000031T,s5000.00031@example.invalid,"+34 600000031",2026-07-03,activo,"Sede sintética",999999
S5000-00032,Álvaro,"Muñoz García",60000032R,s5000.00032@example.invalid,600-000-032,2026-08-04,activo,"Sede sintética",999999
S5000-00033,Lucía,"Pérez Núñez",60000033W,s5000.00033@example.invalid,"+34 600000033",2026-09-05,inactivo,"Sede sintética",999999
S5000-00034,Iñigo,"Martín Sáez",60000034A,s5000.00034@example.invalid,600-000-034,2026-10-06,activo,"Sede sintética",999999
S5000-00035,"María José","Gómez León",60000035G,s5000.00035@example.invalid,"+34 600000035",2026-11-07,activo,"Sede sintética",999999
S5000-00036,Óscar,"Muñoz García",60000036M,s5000.00036@example.invalid,600-000-036,2026-12-08,activo,"Sede sintética",999999
S5000-00037,Nuria,"Pérez Núñez",60000037Y,s5000.00037@example.invalid,"+34 600000037",2026-01-09,activo,"Sede sintética",999999
S5000-00038,Raúl,"Martín Sáez",60000038F,s5000.00038@example.invalid,600-000-038,2026-02-10,activo,"Sede sintética",999999
S5000-00039,Sofía,"Gómez León",60000039P,s5000.00039@example.invalid,"+34 600000039",2026-03-11,activo,"Sede sintética",999999
S5000-00040,Álvaro,"Muñoz García",60000040D,s5000.00040@example.invalid,600-000-040,2026-04-12,activo,"Sede sintética",999999
S5000-00041,Lucía,"Pérez Núñez",60000041X,s5000.00041@example.invalid,"+34 600000041",2026-05-13,activo,"Sede sintética",999999
S5000-00042,Iñigo,"Martín Sáez",60000042B,s5000.00042@example.invalid,600-000-042,2026-06-14,activo,"Sede sintética",999999
S5000-00043,"María José","Gómez León",60000043N,s5000.00043@example.invalid,"+34 600000043",2026-07-15,activo,"Sede sintética",999999
S5000-00044,Óscar,"Muñoz García",60000044J,s5000.00044@example.invalid,600-000-044,2026-08-16,inactivo,"Sede sintética",999999
S5000-00045,Nuria,"Pérez Núñez",60000045Z,s5000.00045@example.invalid,"+34 600000045",2026-09-17,activo,"Sede sintética",999999
S5000-00046,Raúl,"Martín Sáez",60000046S,s5000.00046@example.invalid,600-000-046,2026-10-18,activo,"Sede sintética",999999
S5000-00047,Sofía,"Gómez León",60000047Q,s5000.00047@example.invalid,"+34 600000047",2026-11-19,activo,"Sede sintética",999999
S5000-00048,Álvaro,"Muñoz García",60000048V,s5000.00048@example.invalid,600-000-048,2026-12-20,activo,"Sede sintética",999999
S5000-00049,Lucía,"Pérez Núñez",60000049H,s5000.00049@example.invalid,"+34 600000049",2026-01-21,activo,"Sede sintética",999999
S5000-00050,Iñigo,"Martín Sáez",60000050L,s5000.00050@example.invalid,600-000-050,2026-02-22,activo,"Sede sintética",999999
S5000-00051,"María José","Gómez León",60000051C,s5000.00051@example.invalid,"+34 600000051",2026-03-23,activo,"Sede sintética",999999
S5000-00052,Óscar,"Muñoz García",60000052K,s5000.00052@example.invalid,600-000-052,2026-04-24,activo,"Sede sintética",999999
S5000-00053,Nuria,"Pérez Núñez",60000053E,s5000.00053@example.invalid,"+34 600000053",2026-05-25,activo,"Sede sintética",999999
S5000-00054,Raúl,"Martín Sáez",60000054T,s5000.00054@example.invalid,600-000-054,2026-06-26,activo,"Sede sintética",999999
S5000-00055,Sofía,"Gómez León",60000055R,s5000.00055@example.invalid,"+34 600000055",2026-07-27,inactivo,"Sede sintética",999999
S5000-00056,Álvaro,"Muñoz García",60000056W,s5000.00056@example.invalid,600-000-056,2026-08-28,activo,"Sede sintética",999999
S5000-00057,Lucía,"Pérez Núñez",60000057A,s5000.00057@example.invalid,"+34 600000057",2026-09-01,activo,"Sede sintética",999999
S5000-00058,Iñigo,"Martín Sáez",60000058G,s5000.00058@example.invalid,600-000-058,2026-10-02,activo,"Sede sintética",999999
S5000-00059,"María José","Gómez León",60000059M,s5000.00059@example.invalid,"+34 600000059",2026-11-03,activo,"Sede sintética",999999
S5000-00060,Óscar,"Muñoz García",60000060Y,s5000.00060@example.invalid,600-000-060,2026-12-04,activo,"Sede sintética",999999
S5000-00061,Nuria,"Pérez Núñez",60000061F,s5000.00061@example.invalid,"+34 600000061",2026-01-05,activo,"Sede sintética",999999
S5000-00062,Raúl,"Martín Sáez",60000062P,s5000.00062@example.invalid,600-000-062,2026-02-06,activo,"Sede sintética",999999
S5000-00063,Sofía,"Gómez León",60000063D,s5000.00063@example.invalid,"+34 600000063",2026-03-07,activo,"Sede sintética",999999
S5000-00064,Álvaro,"Muñoz García",60000064X,s5000.00064@example.invalid,600-000-064,2026-04-08,activo,"Sede sintética",999999
S5000-00065,Lucía,"Pérez Núñez",60000065B,s5000.00065@example.invalid,"+34 600000065",2026-05-09,activo,"Sede sintética",999999
S5000-00066,Iñigo,"Martín Sáez",60000066N,s5000.00066@example.invalid,600-000-066,2026-06-10,inactivo,"Sede sintética",999999
S5000-00067,"María José","Gómez León",60000067J,s5000.00067@example.invalid,"+34 600000067",2026-07-11,activo,"Sede sintética",999999
S5000-00068,Óscar,"Muñoz García",60000068Z,s5000.00068@example.invalid,600-000-068,2026-08-12,activo,"Sede sintética",999999
S5000-00069,Nuria,"Pérez Núñez",60000069S,s5000.00069@example.invalid,"+34 600000069",2026-09-13,activo,"Sede sintética",999999
S5000-00070,Raúl,"Martín Sáez",60000070Q,s5000.00070@example.invalid,600-000-070,2026-10-14,activo,"Sede sintética",999999
S5000-00071,Sofía,"Gómez León",60000071V,s5000.00071@example.invalid,"+34 600000071",2026-11-15,activo,"Sede sintética",999999
S5000-00072,Álvaro,"Muñoz García",60000072H,s5000.00072@example.invalid,600-000-072,2026-12-16,activo,"Sede sintética",999999
S5000-00073,Lucía,"Pérez Núñez",60000073L,s5000.00073@example.invalid,"+34 600000073",2026-01-17,activo,"Sede sintética",999999
S5000-00074,Iñigo,"Martín Sáez",60000074C,s5000.00074@example.invalid,600-000-074,2026-02-18,activo,"Sede sintética",999999
S5000-00075,"María José","Gómez León",60000075K,s5000.00075@example.invalid,"+34 600000075",2026-03-19,activo,"Sede sintética",999999
S5000-00076,Óscar,"Muñoz García",60000076E,s5000.00076@example.invalid,600-000-076,2026-04-20,activo,"Sede sintética",999999
S5000-00077,Nuria,"Pérez Núñez",60000077T,s5000.00077@example.invalid,"+34 600000077",2026-05-21,inactivo,"Sede sintética",999999
S5000-00078,Raúl,"Martín Sáez",60000078R,s5000.00078@example.invalid,600-000-078,2026-06-22,activo,"Sede sintética",999999
S5000-00079,Sofía,"Gómez León",60000079W,s5000.00079@example.invalid,"+34 600000079",2026-07-23,activo,"Sede sintética",999999
S5000-00080,Álvaro,"Muñoz García",60000080A,s5000.00080@example.invalid,600-000-080,2026-08-24,activo,"Sede sintética",999999
S5000-00081,Lucía,"Pérez Núñez",60000081G,s5000.00081@example.invalid,"+34 600000081",2026-09-25,activo,"Sede sintética",999999
S5000-00082,Iñigo,"Martín Sáez",60000082M,s5000.00082@example.invalid,600-000-082,2026-10-26,activo,"Sede sintética",999999
S5000-00083,"María José","Gómez León",60000083Y,s5000.00083@example.invalid,"+34 600000083",2026-11-27,activo,"Sede sintética",999999
S5000-00084,Óscar,"Muñoz García",60000084F,s5000.00084@example.invalid,600-000-084,2026-12-28,activo,"Sede sintética",999999
S5000-00085,Nuria,"Pérez Núñez",60000085P,s5000.00085@example.invalid,"+34 600000085",2026-01-01,activo,"Sede sintética",999999
S5000-00086,Raúl,"Martín Sáez",60000086D,s5000.00086@example.invalid,600-000-086,2026-02-02,activo,"Sede sintética",999999
S5000-00087,Sofía,"Gómez León",60000087X,s5000.00087@example.invalid,"+34 600000087",2026-03-03,activo,"Sede sintética",999999
S5000-00088,Álvaro,"Muñoz García",60000088B,s5000.00088@example.invalid,600-000-088,2026-04-04,inactivo,"Sede sintética",999999
S5000-00089,Lucía,"Pérez Núñez",60000089N,s5000.00089@example.invalid,"+34 600000089",2026-05-05,activo,"Sede sintética",999999
S5000-00090,Iñigo,"Martín Sáez",60000090J,s5000.00090@example.invalid,600-000-090,2026-06-06,activo,"Sede sintética",999999
S5000-00091,"María José","Gómez León",60000091Z,s5000.00091@example.invalid,"+34 600000091",2026-07-07,activo,"Sede sintética",999999
S5000-00092,Óscar,"Muñoz García",60000092S,s5000.00092@example.invalid,600-000-092,2026-08-08,activo,"Sede sintética",999999
S5000-00093,Nuria,"Pérez Núñez",60000093Q,s5000.00093@example.invalid,"+34 600000093",2026-09-09,activo,"Sede sintética",999999
S5000-00094,Raúl,"Martín Sáez",60000094V,s5000.00094@example.invalid,600-000-094,2026-10-10,activo,"Sede sintética",999999
S5000-00095,Sofía,"Gómez León",60000095H,s5000.00095@example.invalid,"+34 600000095",2026-11-11,activo,"Sede sintética",999999
S5000-00096,Álvaro,"Muñoz García",60000096L,s5000.00096@example.invalid,600-000-096,2026-12-12,activo,"Sede sintética",999999
S5000-00097,Lucía,"Pérez Núñez",60000097C,s5000.00097@example.invalid,"+34 600000097",2026-01-13,activo,"Sede sintética",999999
S5000-00098,Iñigo,"Martín Sáez",60000098K,s5000.00098@example.invalid,600-000-098,2026-02-14,activo,"Sede sintética",999999
S5000-00099,"María José","Gómez León",60000099E,s5000.00099@example.invalid,"+34 600000099",2026-03-15,inactivo,"Sede sintética",999999
S5000-00100,Óscar,"Muñoz García",60000100T,s5000.00100@example.invalid,600-000-100,2026-04-16,activo,"Sede sintética",999999
S5000-00101,Nuria,"Pérez Núñez",60000101R,s5000.00101@example.invalid,"+34 600000101",2026-05-17,activo,"Sede sintética",999999
S5000-00102,Raúl,"Martín Sáez",60000102W,s5000.00102@example.invalid,600-000-102,2026-06-18,activo,"Sede sintética",999999
S5000-00103,Sofía,"Gómez León",60000103A,s5000.00103@example.invalid,"+34 600000103",2026-07-19,activo,"Sede sintética",999999
S5000-00104,Álvaro,"Muñoz García",60000104G,s5000.00104@example.invalid,600-000-104,2026-08-20,activo,"Sede sintética",999999
S5000-00105,Lucía,"Pérez Núñez",60000105M,s5000.00105@example.invalid,"+34 600000105",2026-09-21,activo,"Sede sintética",999999
S5000-00106,Iñigo,"Martín Sáez",60000106Y,s5000.00106@example.invalid,600-000-106,2026-10-22,activo,"Sede sintética",999999
S5000-00107,"María José","Gómez León",60000107F,s5000.00107@example.invalid,"+34 600000107",2026-11-23,activo,"Sede sintética",999999
S5000-00108,Óscar,"Muñoz García",60000108P,s5000.00108@example.invalid,600-000-108,2026-12-24,activo,"Sede sintética",999999
S5000-00109,Nuria,"Pérez Núñez",60000109D,s5000.00109@example.invalid,"+34 600000109",2026-01-25,activo,"Sede sintética",999999
S5000-00110,Raúl,"Martín Sáez",60000110X,s5000.00110@example.invalid,600-000-110,2026-02-26,inactivo,"Sede sintética",999999
S5000-00111,Sofía,"Gómez León",60000111B,s5000.00111@example.invalid,"+34 600000111",2026-03-27,activo,"Sede sintética",999999
S5000-00112,Álvaro,"Muñoz García",60000112N,s5000.00112@example.invalid,600-000-112,2026-04-28,activo,"Sede sintética",999999
S5000-00113,Lucía,"Pérez Núñez",60000113J,s5000.00113@example.invalid,"+34 600000113",2026-05-01,activo,"Sede sintética",999999
S5000-00114,Iñigo,"Martín Sáez",60000114Z,s5000.00114@example.invalid,600-000-114,2026-06-02,activo,"Sede sintética",999999
S5000-00115,"María José","Gómez León",60000115S,s5000.00115@example.invalid,"+34 600000115",2026-07-03,activo,"Sede sintética",999999
S5000-00116,Óscar,"Muñoz García",60000116Q,s5000.00116@example.invalid,600-000-116,2026-08-04,activo,"Sede sintética",999999
S5000-00117,Nuria,"Pérez Núñez",60000117V,s5000.00117@example.invalid,"+34 600000117",2026-09-05,activo,"Sede sintética",999999
S5000-00118,Raúl,"Martín Sáez",60000118H,s5000.00118@example.invalid,600-000-118,2026-10-06,activo,"Sede sintética",999999
S5000-00119,Sofía,"Gómez León",60000119L,s5000.00119@example.invalid,"+34 600000119",2026-11-07,activo,"Sede sintética",999999
S5000-00120,Álvaro,"Muñoz García",60000120C,s5000.00120@example.invalid,600-000-120,2026-12-08,activo,"Sede sintética",999999
S5000-00121,Lucía,"Pérez Núñez",60000121K,s5000.00121@example.invalid,"+34 600000121",2026-01-09,inactivo,"Sede sintética",999999
S5000-00122,Iñigo,"Martín Sáez",60000122E,s5000.00122@example.invalid,600-000-122,2026-02-10,activo,"Sede sintética",999999
S5000-00123,"María José","Gómez León",60000123T,s5000.00123@example.invalid,"+34 600000123",2026-03-11,activo,"Sede sintética",999999
S5000-00124,Óscar,"Muñoz García",60000124R,s5000.00124@example.invalid,600-000-124,2026-04-12,activo,"Sede sintética",999999
S5000-00125,Nuria,"Pérez Núñez",60000125W,s5000.00125@example.invalid,"+34 600000125",2026-05-13,activo,"Sede sintética",999999
S5000-00126,Raúl,"Martín Sáez",60000126A,s5000.00126@example.invalid,600-000-126,2026-06-14,activo,"Sede sintética",999999
S5000-00127,Sofía,"Gómez León",60000127G,s5000.00127@example.invalid,"+34 600000127",2026-07-15,activo,"Sede sintética",999999
S5000-00128,Álvaro,"Muñoz García",60000128M,s5000.00128@example.invalid,600-000-128,2026-08-16,activo,"Sede sintética",999999
S5000-00129,Lucía,"Pérez Núñez",60000129Y,s5000.00129@example.invalid,"+34 600000129",2026-09-17,activo,"Sede sintética",999999
S5000-00130,Iñigo,"Martín Sáez",60000130F,s5000.00130@example.invalid,600-000-130,2026-10-18,activo,"Sede sintética",999999
S5000-00131,"María José","Gómez León",60000131P,s5000.00131@example.invalid,"+34 600000131",2026-11-19,activo,"Sede sintética",999999
S5000-00132,Óscar,"Muñoz García",60000132D,s5000.00132@example.invalid,600-000-132,2026-12-20,inactivo,"Sede sintética",999999
S5000-00133,Nuria,"Pérez Núñez",60000133X,s5000.00133@example.invalid,"+34 600000133",2026-01-21,activo,"Sede sintética",999999
S5000-00134,Raúl,"Martín Sáez",60000134B,s5000.00134@example.invalid,600-000-134,2026-02-22,activo,"Sede sintética",999999
S5000-00135,Sofía,"Gómez León",60000135N,s5000.00135@example.invalid,"+34 600000135",2026-03-23,activo,"Sede sintética",999999
S5000-00136,Álvaro,"Muñoz García",60000136J,s5000.00136@example.invalid,600-000-136,2026-04-24,activo,"Sede sintética",999999
S5000-00137,Lucía,"Pérez Núñez",60000137Z,s5000.00137@example.invalid,"+34 600000137",2026-05-25,activo,"Sede sintética",999999
S5000-00138,Iñigo,"Martín Sáez",60000138S,s5000.00138@example.invalid,600-000-138,2026-06-26,activo,"Sede sintética",999999
S5000-00139,"María José","Gómez León",60000139Q,s5000.00139@example.invalid,"+34 600000139",2026-07-27,activo,"Sede sintética",999999
S5000-00140,Óscar,"Muñoz García",60000140V,s5000.00140@example.invalid,600-000-140,2026-08-28,activo,"Sede sintética",999999
S5000-00141,Nuria,"Pérez Núñez",60000141H,s5000.00141@example.invalid,"+34 600000141",2026-09-01,activo,"Sede sintética",999999
S5000-00142,Raúl,"Martín Sáez",60000142L,s5000.00142@example.invalid,600-000-142,2026-10-02,activo,"Sede sintética",999999
S5000-00143,Sofía,"Gómez León",60000143C,s5000.00143@example.invalid,"+34 600000143",2026-11-03,inactivo,"Sede sintética",999999
S5000-00144,Álvaro,"Muñoz García",60000144K,s5000.00144@example.invalid,600-000-144,2026-12-04,activo,"Sede sintética",999999
S5000-00145,Lucía,"Pérez Núñez",60000145E,s5000.00145@example.invalid,"+34 600000145",2026-01-05,activo,"Sede sintética",999999
S5000-00146,Iñigo,"Martín Sáez",60000146T,s5000.00146@example.invalid,600-000-146,2026-02-06,activo,"Sede sintética",999999
S5000-00147,"María José","Gómez León",60000147R,s5000.00147@example.invalid,"+34 600000147",2026-03-07,activo,"Sede sintética",999999
S5000-00148,Óscar,"Muñoz García",60000148W,s5000.00148@example.invalid,600-000-148,2026-04-08,activo,"Sede sintética",999999
S5000-00149,Nuria,"Pérez Núñez",60000149A,s5000.00149@example.invalid,"+34 600000149",2026-05-09,activo,"Sede sintética",999999
S5000-00150,Raúl,"Martín Sáez",60000150G,s5000.00150@example.invalid,600-000-150,2026-06-10,activo,"Sede sintética",999999
S5000-00151,Sofía,"Gómez León",60000151M,s5000.00151@example.invalid,"+34 600000151",2026-07-11,activo,"Sede sintética",999999
S5000-00152,Álvaro,"Muñoz García",60000152Y,s5000.00152@example.invalid,600-000-152,2026-08-12,activo,"Sede sintética",999999
S5000-00153,Lucía,"Pérez Núñez",60000153F,s5000.00153@example.invalid,"+34 600000153",2026-09-13,activo,"Sede sintética",999999
S5000-00154,Iñigo,"Martín Sáez",60000154P,s5000.00154@example.invalid,600-000-154,2026-10-14,inactivo,"Sede sintética",999999
S5000-00155,"María José","Gómez León",60000155D,s5000.00155@example.invalid,"+34 600000155",2026-11-15,activo,"Sede sintética",999999
S5000-00156,Óscar,"Muñoz García",60000156X,s5000.00156@example.invalid,600-000-156,2026-12-16,activo,"Sede sintética",999999
S5000-00157,Nuria,"Pérez Núñez",60000157B,s5000.00157@example.invalid,"+34 600000157",2026-01-17,activo,"Sede sintética",999999
S5000-00158,Raúl,"Martín Sáez",60000158N,s5000.00158@example.invalid,600-000-158,2026-02-18,activo,"Sede sintética",999999
S5000-00159,Sofía,"Gómez León",60000159J,s5000.00159@example.invalid,"+34 600000159",2026-03-19,activo,"Sede sintética",999999
S5000-00160,Álvaro,"Muñoz García",60000160Z,s5000.00160@example.invalid,600-000-160,2026-04-20,activo,"Sede sintética",999999
S5000-00161,Lucía,"Pérez Núñez",60000161S,s5000.00161@example.invalid,"+34 600000161",2026-05-21,activo,"Sede sintética",999999
S5000-00162,Iñigo,"Martín Sáez",60000162Q,s5000.00162@example.invalid,600-000-162,2026-06-22,activo,"Sede sintética",999999
S5000-00163,"María José","Gómez León",60000163V,s5000.00163@example.invalid,"+34 600000163",2026-07-23,activo,"Sede sintética",999999
S5000-00164,Óscar,"Muñoz García",60000164H,s5000.00164@example.invalid,600-000-164,2026-08-24,activo,"Sede sintética",999999
S5000-00165,Nuria,"Pérez Núñez",60000165L,s5000.00165@example.invalid,"+34 600000165",2026-09-25,inactivo,"Sede sintética",999999
S5000-00166,Raúl,"Martín Sáez",60000166C,s5000.00166@example.invalid,600-000-166,2026-10-26,activo,"Sede sintética",999999
S5000-00167,Sofía,"Gómez León",60000167K,s5000.00167@example.invalid,"+34 600000167",2026-11-27,activo,"Sede sintética",999999
S5000-00168,Álvaro,"Muñoz García",60000168E,s5000.00168@example.invalid,600-000-168,2026-12-28,activo,"Sede sintética",999999
S5000-00169,Lucía,"Pérez Núñez",60000169T,s5000.00169@example.invalid,"+34 600000169",2026-01-01,activo,"Sede sintética",999999
S5000-00170,Iñigo,"Martín Sáez",60000170R,s5000.00170@example.invalid,600-000-170,2026-02-02,activo,"Sede sintética",999999
S5000-00171,"María José","Gómez León",60000171W,s5000.00171@example.invalid,"+34 600000171",2026-03-03,activo,"Sede sintética",999999
S5000-00172,Óscar,"Muñoz García",60000172A,s5000.00172@example.invalid,600-000-172,2026-04-04,activo,"Sede sintética",999999
S5000-00173,Nuria,"Pérez Núñez",60000173G,s5000.00173@example.invalid,"+34 600000173",2026-05-05,activo,"Sede sintética",999999
S5000-00174,Raúl,"Martín Sáez",60000174M,s5000.00174@example.invalid,600-000-174,2026-06-06,activo,"Sede sintética",999999
S5000-00175,Sofía,"Gómez León",60000175Y,s5000.00175@example.invalid,"+34 600000175",2026-07-07,activo,"Sede sintética",999999
S5000-00176,Álvaro,"Muñoz García",60000176F,s5000.00176@example.invalid,600-000-176,2026-08-08,inactivo,"Sede sintética",999999
S5000-00177,Lucía,"Pérez Núñez",60000177P,s5000.00177@example.invalid,"+34 600000177",2026-09-09,activo,"Sede sintética",999999
S5000-00178,Iñigo,"Martín Sáez",60000178D,s5000.00178@example.invalid,600-000-178,2026-10-10,activo,"Sede sintética",999999
S5000-00179,"María José","Gómez León",60000179X,s5000.00179@example.invalid,"+34 600000179",2026-11-11,activo,"Sede sintética",999999
S5000-00180,Óscar,"Muñoz García",60000180B,s5000.00180@example.invalid,600-000-180,2026-12-12,activo,"Sede sintética",999999
S5000-00181,Nuria,"Pérez Núñez",60000181N,s5000.00181@example.invalid,"+34 600000181",2026-01-13,activo,"Sede sintética",999999
S5000-00182,Raúl,"Martín Sáez",60000182J,s5000.00182@example.invalid,600-000-182,2026-02-14,activo,"Sede sintética",999999
S5000-00183,Sofía,"Gómez León",60000183Z,s5000.00183@example.invalid,"+34 600000183",2026-03-15,activo,"Sede sintética",999999
S5000-00184,Álvaro,"Muñoz García",60000184S,s5000.00184@example.invalid,600-000-184,2026-04-16,activo,"Sede sintética",999999
S5000-00185,Lucía,"Pérez Núñez",60000185Q,s5000.00185@example.invalid,"+34 600000185",2026-05-17,activo,"Sede sintética",999999
S5000-00186,Iñigo,"Martín Sáez",60000186V,s5000.00186@example.invalid,600-000-186,2026-06-18,activo,"Sede sintética",999999
S5000-00187,"María José","Gómez León",60000187H,s5000.00187@example.invalid,"+34 600000187",2026-07-19,inactivo,"Sede sintética",999999
S5000-00188,Óscar,"Muñoz García",60000188L,s5000.00188@example.invalid,600-000-188,2026-08-20,activo,"Sede sintética",999999
S5000-00189,Nuria,"Pérez Núñez",60000189C,s5000.00189@example.invalid,"+34 600000189",2026-09-21,activo,"Sede sintética",999999
S5000-00190,Raúl,"Martín Sáez",60000190K,s5000.00190@example.invalid,600-000-190,2026-10-22,activo,"Sede sintética",999999
S5000-00191,Sofía,"Gómez León",60000191E,s5000.00191@example.invalid,"+34 600000191",2026-11-23,activo,"Sede sintética",999999
S5000-00192,Álvaro,"Muñoz García",60000192T,s5000.00192@example.invalid,600-000-192,2026-12-24,activo,"Sede sintética",999999
S5000-00193,Lucía,"Pérez Núñez",60000193R,s5000.00193@example.invalid,"+34 600000193",2026-01-25,activo,"Sede sintética",999999
S5000-00194,Iñigo,"Martín Sáez",60000194W,s5000.00194@example.invalid,600-000-194,2026-02-26,activo,"Sede sintética",999999
S5000-00195,"María José","Gómez León",60000195A,s5000.00195@example.invalid,"+34 600000195",2026-03-27,activo,"Sede sintética",999999
S5000-00196,Óscar,"Muñoz García",60000196G,s5000.00196@example.invalid,600-000-196,2026-04-28,activo,"Sede sintética",999999
S5000-00197,Nuria,"Pérez Núñez",60000197M,s5000.00197@example.invalid,"+34 600000197",2026-05-01,activo,"Sede sintética",999999
S5000-00198,Raúl,"Martín Sáez",60000198Y,s5000.00198@example.invalid,600-000-198,2026-06-02,inactivo,"Sede sintética",999999
S5000-00199,Sofía,"Gómez León",60000199F,s5000.00199@example.invalid,"+34 600000199",2026-07-03,activo,"Sede sintética",999999
S5000-00200,Álvaro,"Muñoz García",60000200P,s5000.00200@example.invalid,600-000-200,2026-08-04,activo,"Sede sintética",999999
S5000-00201,Lucía,"Pérez Núñez",60000201D,s5000.00201@example.invalid,"+34 600000201",2026-09-05,activo,"Sede sintética",999999
S5000-00202,Iñigo,"Martín Sáez",60000202X,s5000.00202@example.invalid,600-000-202,2026-10-06,activo,"Sede sintética",999999
S5000-00203,"María José","Gómez León",60000203B,s5000.00203@example.invalid,"+34 600000203",2026-11-07,activo,"Sede sintética",999999
S5000-00204,Óscar,"Muñoz García",60000204N,s5000.00204@example.invalid,600-000-204,2026-12-08,activo,"Sede sintética",999999
S5000-00205,Nuria,"Pérez Núñez",60000205J,s5000.00205@example.invalid,"+34 600000205",2026-01-09,activo,"Sede sintética",999999
S5000-00206,Raúl,"Martín Sáez",60000206Z,s5000.00206@example.invalid,600-000-206,2026-02-10,activo,"Sede sintética",999999
S5000-00207,Sofía,"Gómez León",60000207S,s5000.00207@example.invalid,"+34 600000207",2026-03-11,activo,"Sede sintética",999999
S5000-00208,Álvaro,"Muñoz García",60000208Q,s5000.00208@example.invalid,600-000-208,2026-04-12,activo,"Sede sintética",999999
