external_id;nombre;apellidos;dni;email;telefono;fecha_alta;estado;sede_externa;empresa_id
S100-00060;Óscar;"Muñoz García";50000060S;s100.00060@example.invalid;600-000-060;2026-12-04;activo;"Sede sintética";999999
S100-00061;Nuria;"Pérez Núñez";50000061Q;s100.00061@example.invalid;"+34 600000061";2026-01-05;activo;"Sede sintética";999999
S100-00062;Raúl;"Martín Sáez";50000062V;s100.00062@example.invalid;600-000-062;2026-02-06;activo;"Sede sintética";999999
S100-00063;Sofía;"Gómez León";50000063H;s100.00063@example.invalid;"+34 600000063";2026-03-07;activo;"Sede sintética";999999
S100-00064;Álvaro;"Muñoz García";50000064L;s100.00064@example.invalid;600-000-064;2026-04-08;activo;"Sede sintética";999999
S100-00065;Lucía;"Pérez Núñez";50000065C;s100.00065@example.invalid;"+34 600000065";2026-05-09;activo;"Sede sintética";999999
S100-00066;Iñigo;"Martín Sáez";50000066K;s100.00066@example.invalid;600-000-066;2026-06-10;inactivo;"Sede sintética";999999
S100-00067;"María José";"Gómez León";50000067E;s100.00067@example.invalid;"+34 600000067";2026-07-11;activo;"Sede sintética";999999
S100-00068;Óscar;"Muñoz García";50000068T;s100.00068@example.invalid;600-000-068;2026-08-12;activo;"Sede sintética";999999
S100-00069;Nuria;"Pérez Núñez";50000069R;s100.00069@example.invalid;"+34 600000069";2026-09-13;activo;"Sede sintética";999999
S100-00070;Raúl;"Martín Sáez";50000070W;s100.00070@example.invalid;600-000-070;2026-10-14;activo;"Sede sintética";999999
S100-00071;Sofía;"Gómez León";50000071A;s100.00071@example.invalid;"+34 600000071";2026-11-15;activo;"Sede sintética";999999
S100-00072;Álvaro;"Muñoz García";50000072G;s100.00072@example.invalid;600-000-072;2026-12-16;activo;"Sede sintética";999999
S100-00073;Lucía;"Pérez Núñez";50000073M;s100.00073@example.invalid;"+34 600000073";2026-01-17;activo;"Sede sintética";999999
S100-00074;Iñigo;"Martín Sáez";50000074Y;s100.00074@example.invalid;600-000-074;2026-02-18;activo;"Sede sintética";999999
S100-00075;"María José";"Gómez León";50000075F;s100.00075@example.invalid;"+34 600000075";2026-03-19;activo;"Sede sintética";999999
S100-00076;Óscar;"Muñoz García";50000076P;s100.00076@example.invalid;600-000-076;2026-04-20;activo;"Sede sintética";999999
S100-00077;Nuria;"Pérez Núñez";50000077D;s100.00077@example.invalid;"+34 600000077";2026-05-21;inactivo;"Sede sintética";999999
S100-00078;Raúl;"Martín Sáez";50000078X;s100.00078@example.invalid;600-000-078;2026-06-22;activo;"Sede sintética";999999
S100-00079;Sofía;"Gómez León";50000079B;s100.00079@example.invalid;"+34 600000079";2026-07-23;activo;"Sede sintética";999999
S100-00080;Álvaro;"Muñoz García";50000080N;s100.00080@example.invalid;600-000-080;2026-08-24;activo;"Sede sintética";999999
S100-00081;Lucía;"Pérez Núñez";50000081J;s100.00081@example.invalid;"+34 600000081";2026-09-25;activo;"Sede sintética";999999
S100-00082;Iñigo;"Martín Sáez";50000082Z;s100.00082@example.invalid;600-000-082;2026-10-26;activo;"Sede sintética";999999
S100-00083;"María José";"Gómez León";50000083S;s100.00083@example.invalid;"+34 600000083";2026-11-27;activo;"Sede sintética";999999
S100-00084;Óscar;"Muñoz García";50000084Q;s100.00084@example.invalid;600-000-084;2026-12-28;activo;"Sede sintética";999999
S100-00085;Nuria;"Pérez Núñez";50000085V;s100.00085@example.invalid;"+34 600000085";2026-01-01;activo;"Sede sintética";999999
S100-00086;Raúl;"Martín Sáez";50000086H;s100.00086@example.invalid;600-000-086;2026-02-02;activo;"Sede sintética";999999
S100-00087;Sofía;"Gómez León";50000087L;s100.00087@example.invalid;"+34 600000087";2026-03-03;activo;"Sede sintética";999999
S100-00088;Álvaro;"Muñoz García";50000088C;s100.00088@example.invalid;600-000-088;2026-04-04;inactivo;"Sede sintética";999999
S100-00089;Lucía;"Pérez Núñez";50000089K;s100.00089@example.invalid;"+34 600000089";2026-05-05;activo;"Sede sintética";999999
S100-00090;Iñigo;"Martín Sáez";50000090E;s100.00090@example.invalid;600-000-090;2026-06-06;activo;"Sede sintética";999999
S100-00091;"María José";"Gómez León";50000091T;s100.00091@example.invalid;"+34 600000091";2026-07-07;activo;"Sede sintética";999999
S100-00092;Óscar;"Muñoz García";50000092R;s100.00092@example.invalid;600-000-092;2026-08-08;activo;"Sede sintética";999999
S100-00093;Nuria;"Pérez Núñez";50000093W;s100.00093@example.invalid;"+34 600000093";2026-09-09;activo;"Sede sintética";999999
S100-00094;Raúl;"Martín Sáez";50000094A;s100.00094@example.invalid;600-000-094;2026-10-10;activo;"Sede sintética";999999
S100-00095;Sofía;"Gómez León";50000095G;s100.00095@example.invalid;"+34 600000095";2026-11-11;activo;"Sede sintética";999999
S100-00096;Álvaro;"Muñoz García";50000096M;s100.00096@example.invalid;600-000-096;2026-12-12;activo;"Sede sintética";999999
S100-00097;Lucía;"Pérez Núñez";50000097Y;s100.00097@example.invalid;"+34 600000097";2026-01-13;activo;"Sede sintética";999999
S100-00098;Iñigo;"Martín Sáez";50000098F;s100.00098@example.invalid;600-000-098;2026-02-14;activo;"Sede sintética";999999
S100-00099;"María José";"Gómez León";50000099P;s100.00099@example.invalid;"+34 600000099";2026-03-15;inactivo;"Sede sintética";999999
S100-00100;Óscar;"Muñoz García";50000100D;s100.00100@example.invalid;600-000-100;2026-04-16;activo;"Sede sintética";999999
